STORE,UPC,_FREQ_,_STAT_,MOVE,category,SALE,OK,PRICE,QTY,date,acf_lag1,SaleDummy,SaleBS,Coupon,Buy,Simple,Move1,logMove1
86,4640055081,153,MEAN,24,Soft Drinks,B,1,0.99,1,10SEP1989,-0.227812777,1,1,0,1,0,25,3.2188758249
86,4640055081,238,MEAN,7,Soft Drinks,M,1,0.99,1,17SEP1989,-0.227812777,0,0,0,0,0,8,2.0794415417
86,4640055081,153,MEAN,1,Soft Drinks,M,1,1.69,1,24SEP1989,-0.227812777,0,0,0,0,0,2,0.6931471806
86,4640055081,153,MEAN,0,Soft Drinks,M,1,0,1,01OCT1989,-0.227812777,0,0,0,0,0,1,0
86,4640055081,153,MEAN,14,Soft Drinks,M,1,0.89,1,08OCT1989,-0.227812777,0,0,0,0,0,15,2.7080502011
86,4640055081,153,MEAN,1,Soft Drinks,M,1,1.69,1,15OCT1989,-0.227812777,0,0,0,0,0,2,0.6931471806
86,4640055081,153,MEAN,3,Soft Drinks,M,1,0.99,1,22OCT1989,-0.227812777,0,0,0,0,0,4,1.3862943611
86,4640055081,153,MEAN,43,Soft Drinks,B,1,0.89,1,29OCT1989,-0.227812777,1,1,0,1,0,44,3.7841896339
86,4640055081,153,MEAN,2,Soft Drinks,M,1,1.69,1,05NOV1989,-0.227812777,0,0,0,0,0,3,1.0986122887
86,4640055081,153,MEAN,0,Soft Drinks,M,0,0,1,12NOV1989,-0.227812777,0,0,0,0,0,1,0
86,4640055081,153,MEAN,29,Soft Drinks,M,0,1.69,1,19NOV1989,-0.227812777,0,0,0,0,0,30,3.4011973817
86,4640055081,153,MEAN,10,Soft Drinks,B,1,0.89,1,26NOV1989,-0.227812777,1,1,0,1,0,11,2.3978952728
86,4640055081,153,MEAN,0,Soft Drinks,M,1,0,1,03DEC1989,-0.227812777,0,0,0,0,0,1,0
86,4640055081,153,MEAN,27,Soft Drinks,M,1,1.69,1,10DEC1989,-0.227812777,0,0,0,0,0,28,3.3322045102
86,4640055081,153,MEAN,8,Soft Drinks,M,1,1.69,1,17DEC1989,-0.227812777,0,0,0,0,0,9,2.1972245773
86,4640055081,153,MEAN,17,Soft Drinks,M,1,0.89,1,24DEC1989,-0.227812777,0,0,0,0,0,18,2.8903717579
86,4640055081,153,MEAN,1,Soft Drinks,M,1,1.69,1,31DEC1989,-0.227812777,0,0,0,0,0,2,0.6931471806
86,4640055081,153,MEAN,6,Soft Drinks,M,1,1.19,1,07JAN1990,-0.227812777,0,0,0,0,0,7,1.9459101491
86,4640055081,153,MEAN,2,Soft Drinks,M,1,1.69,1,14JAN1990,-0.227812777,0,0,0,0,0,3,1.0986122887
86,4640055081,153,MEAN,20,Soft Drinks,B,1,0.89,1,21JAN1990,-0.227812777,1,1,0,1,0,21,3.0445224377
86,4640055081,153,MEAN,2,Soft Drinks,M,1,1.69,1,28JAN1990,-0.227812777,0,0,0,0,0,3,1.0986122887
86,4640055081,153,MEAN,57,Soft Drinks,B,1,0.69,1,04FEB1990,-0.227812777,1,1,0,1,0,58,4.0604430105
86,4640055081,153,MEAN,1,Soft Drinks,M,1,1.69,1,11FEB1990,-0.227812777,0,0,0,0,0,2,0.6931471806
86,4640055081,153,MEAN,44,Soft Drinks,B,1,0.79,1,18FEB1990,-0.227812777,1,1,0,1,0,45,3.8066624898
86,4640055081,153,MEAN,10,Soft Drinks,M,1,1.69,1,25FEB1990,-0.227812777,0,0,0,0,0,11,2.3978952728
86,4640055081,153,MEAN,22,Soft Drinks,B,1,0.89,1,04MAR1990,-0.227812777,1,1,0,1,0,23,3.1354942159
86,4640055081,153,MEAN,2,Soft Drinks,M,1,1.69,1,11MAR1990,-0.227812777,0,0,0,0,0,3,1.0986122887
86,4640055081,153,MEAN,34,Soft Drinks,B,1,0.89,1,18MAR1990,-0.227812777,1,1,0,1,0,35,3.5553480615
86,4640055081,153,MEAN,0,Soft Drinks,M,1,0,1,25MAR1990,-0.227812777,0,0,0,0,0,1,0
86,4640055081,153,MEAN,48,Soft Drinks,B,1,0.89,1,01APR1990,-0.227812777,1,1,0,1,0,49,3.8918202981
86,4640055081,153,MEAN,2,Soft Drinks,B,0,0.89,1,08APR1990,-0.227812777,1,1,0,1,0,3,1.0986122887
86,4640055081,153,MEAN,1,Soft Drinks,M,1,1.69,1,15APR1990,-0.227812777,0,0,0,0,0,2,0.6931471806
86,4640055081,153,MEAN,22,Soft Drinks,B,1,0.89,1,22APR1990,-0.227812777,1,1,0,1,0,23,3.1354942159
86,4640055081,153,MEAN,1,Soft Drinks,M,1,1.69,1,29APR1990,-0.227812777,0,0,0,0,0,2,0.6931471806
86,4640055081,153,MEAN,2,Soft Drinks,M,1,1.69,1,06MAY1990,-0.227812777,0,0,0,0,0,3,1.0986122887
86,4640055081,153,MEAN,24,Soft Drinks,M,1,0.89,1,13MAY1990,-0.227812777,0,0,0,0,0,25,3.2188758249
86,4640055081,153,MEAN,3,Soft Drinks,M,1,1.69,1,20MAY1990,-0.227812777,0,0,0,0,0,4,1.3862943611
86,4640055081,153,MEAN,0,Soft Drinks,M,1,0,1,27MAY1990,-0.227812777,0,0,0,0,0,1,0
86,4640055081,153,MEAN,18,Soft Drinks,S,1,0.89,1,03JUN1990,-0.227812777,1,1,0,0,1,19,2.9444389792
86,4640055081,153,MEAN,0,Soft Drinks,M,1,0,1,10JUN1990,-0.227812777,0,0,0,0,0,1,0
86,4640055081,153,MEAN,31,Soft Drinks,B,1,0.99,1,17JUN1990,-0.227812777,1,1,0,1,0,32,3.4657359028
86,4640055081,153,MEAN,10,Soft Drinks,B,1,0.89,1,24JUN1990,-0.227812777,1,1,0,1,0,11,2.3978952728
86,4640055081,153,MEAN,2,Soft Drinks,M,1,1.69,1,01JUL1990,-0.227812777,0,0,0,0,0,3,1.0986122887
86,4640055081,153,MEAN,29,Soft Drinks,M,1,0.89,1,08JUL1990,-0.227812777,0,0,0,0,0,30,3.4011973817
86,4640055081,153,MEAN,0,Soft Drinks,M,1,0,1,15JUL1990,-0.227812777,0,0,0,0,0,1,0
86,4640055081,153,MEAN,10,Soft Drinks,B,1,0.89,1,22JUL1990,-0.227812777,1,1,0,1,0,11,2.3978952728
86,4640055081,153,MEAN,0,Soft Drinks,M,1,0,1,29JUL1990,-0.227812777,0,0,0,0,0,1,0
86,4640055081,153,MEAN,37,Soft Drinks,B,1,0.89,1,05AUG1990,-0.227812777,1,1,0,1,0,38,3.6375861597
86,4640055081,153,MEAN,2,Soft Drinks,M,1,1.69,1,12AUG1990,-0.227812777,0,0,0,0,0,3,1.0986122887
86,4640055081,153,MEAN,1,Soft Drinks,M,1,1.69,1,19AUG1990,-0.227812777,0,0,0,0,0,2,0.6931471806
86,4640055081,153,MEAN,35,Soft Drinks,B,1,0.89,1,26AUG1990,-0.227812777,1,1,0,1,0,36,3.5835189385
86,4640055081,153,MEAN,0,Soft Drinks,M,1,0,1,02SEP1990,-0.227812777,0,0,0,0,0,1,0
86,4640055081,153,MEAN,14,Soft Drinks,M,1,0.89,1,09SEP1990,-0.227812777,0,0,0,0,0,15,2.7080502011
86,4640055081,153,MEAN,1,Soft Drinks,M,1,1.69,1,16SEP1990,-0.227812777,0,0,0,0,0,2,0.6931471806
86,4640055081,153,MEAN,42,Soft Drinks,B,1,0.89,1,23SEP1990,-0.227812777,1,1,0,1,0,43,3.7612001157
86,4640055081,153,MEAN,34,Soft Drinks,B,1,0.89,1,30SEP1990,-0.227812777,1,1,0,1,0,35,3.5553480615
86,4640055081,153,MEAN,43,Soft Drinks,B,1,0.89,1,07OCT1990,-0.227812777,1,1,0,1,0,44,3.7841896339
86,4640055081,153,MEAN,2,Soft Drinks,M,1,1.69,1,14OCT1990,-0.227812777,0,0,0,0,0,3,1.0986122887
86,4640055081,153,MEAN,35,Soft Drinks,M,1,0.89,1,21OCT1990,-0.227812777,0,0,0,0,0,36,3.5835189385
86,4640055081,153,MEAN,2,Soft Drinks,M,1,1.69,1,28OCT1990,-0.227812777,0,0,0,0,0,3,1.0986122887
86,4640055081,153,MEAN,0,Soft Drinks,M,1,0,1,04NOV1990,-0.227812777,0,0,0,0,0,1,0
86,4640055081,153,MEAN,28,Soft Drinks,B,1,0.89,1,11NOV1990,-0.227812777,1,1,0,1,0,29,3.36729583
86,4640055081,153,MEAN,21,Soft Drinks,B,1,0.89,1,18NOV1990,-0.227812777,1,1,0,1,0,22,3.0910424534
86,4640055081,153,MEAN,4,Soft Drinks,M,1,1.69,1,25NOV1990,-0.227812777,0,0,0,0,0,5,1.6094379124
86,4640055081,153,MEAN,1,Soft Drinks,M,1,1.69,1,02DEC1990,-0.227812777,0,0,0,0,0,2,0.6931471806
86,4640055081,153,MEAN,29,Soft Drinks,B,1,0.89,1,09DEC1990,-0.227812777,1,1,0,1,0,30,3.4011973817
86,4640055081,153,MEAN,31,Soft Drinks,B,1,0.89,1,16DEC1990,-0.227812777,1,1,0,1,0,32,3.4657359028
86,4640055081,153,MEAN,20,Soft Drinks,B,1,0.89,1,23DEC1990,-0.227812777,1,1,0,1,0,21,3.0445224377
86,4640055081,153,MEAN,4,Soft Drinks,M,1,1.69,1,30DEC1990,-0.227812777,0,0,0,0,0,5,1.6094379124
86,4640055081,153,MEAN,4,Soft Drinks,M,1,1.69,1,06JAN1991,-0.227812777,0,0,0,0,0,5,1.6094379124
86,4640055081,153,MEAN,2,Soft Drinks,M,1,1.69,1,13JAN1991,-0.227812777,0,0,0,0,0,3,1.0986122887
86,4640055081,153,MEAN,36,Soft Drinks,B,1,0.89,1,20JAN1991,-0.227812777,1,1,0,1,0,37,3.6109179126
86,4640055081,153,MEAN,4,Soft Drinks,M,1,1.69,1,27JAN1991,-0.227812777,0,0,0,0,0,5,1.6094379124
86,4640055081,153,MEAN,4,Soft Drinks,M,1,1.69,1,03FEB1991,-0.227812777,0,0,0,0,0,5,1.6094379124
86,4640055081,153,MEAN,33,Soft Drinks,B,1,0.89,1,10FEB1991,-0.227812777,1,1,0,1,0,34,3.5263605246
86,4640055081,153,MEAN,3,Soft Drinks,M,1,1.69,1,17FEB1991,-0.227812777,0,0,0,0,0,4,1.3862943611
86,4640055081,153,MEAN,42,Soft Drinks,M,1,0.89,1,24FEB1991,-0.227812777,0,0,0,0,0,43,3.7612001157
86,4640055081,153,MEAN,1,Soft Drinks,M,1,1.69,1,03MAR1991,-0.227812777,0,0,0,0,0,2,0.6931471806
86,4640055081,153,MEAN,38,Soft Drinks,M,1,0.89,1,10MAR1991,-0.227812777,0,0,0,0,0,39,3.6635616461
86,4640055081,153,MEAN,2,Soft Drinks,M,1,1.69,1,17MAR1991,-0.227812777,0,0,0,0,0,3,1.0986122887
86,4640055081,153,MEAN,42,Soft Drinks,S,1,0.89,1,24MAR1991,-0.227812777,1,1,0,0,1,43,3.7612001157
86,4640055081,153,MEAN,5,Soft Drinks,M,1,1.69,1,31MAR1991,-0.227812777,0,0,0,0,0,6,1.7917594692
86,4640055081,153,MEAN,3,Soft Drinks,M,1,1.69,1,07APR1991,-0.227812777,0,0,0,0,0,4,1.3862943611
